# 2025년 50주차 CMP 인프라 정기점검 보고서
# 생성일시: 2025-12-11 00:29:18
# 회사: CMP 인프라
# 담당팀: 플랫폼팀
# 총 점검항목: 93
# 정상: 91 / 경고: 1 / 위험: 1 / 확인불가: 0

점검ID,점검항목,카테고리,환경,점검대상,설명,상태,측정값,임계치,결과메시지,중요도,점검시간
OS-001,디스크 사용량,DEV Master,DEV,Master #1,루트 파일시스템 디스크 사용률 확인,정상,26,80%,정상 범위,high,2025-12-11T00:29:00.791295
OS-002,메모리 사용량,DEV Master,DEV,Master #1,시스템 메모리 사용률 확인,정상,15.9,85%,정상 범위,high,2025-12-11T00:29:00.998286
OS-003,CPU 사용량,DEV Master,DEV,Master #1,CPU 평균 사용률 확인,정상,4,90%,정상 범위,high,2025-12-11T00:29:01.365129
OS-004,시스템 업타임,DEV Master,DEV,Master #1,시스템 가동 시간 확인,정상,"up 16 hours, 24 minutes",-,정보 수집 완료,info,2025-12-11T00:29:01.588900
OS-005,좀비 프로세스,DEV Master,DEV,Master #1,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2025-12-11T00:29:01.812937
OS-006,로드 애버리지,DEV Master,DEV,Master #1,1분 평균 로드 확인,정상,0.28,8.0,정상 범위,medium,2025-12-11T00:29:02.025355
OS-007,Swap 사용량,DEV Master,DEV,Master #1,Swap 메모리 사용률 확인,정상,0,50%,정상 범위,medium,2025-12-11T00:29:02.233220
OS-008,열린 파일 수,DEV Master,DEV,Master #1,시스템 전체 열린 파일 디스크립터 수,정상,2304,100000개,정상 범위,low,2025-12-11T00:29:02.437621
OS-009,네트워크 연결,DEV Master,DEV,Master #1,ESTABLISHED 상태 TCP 연결 수,정상,795,2000개,정상 범위,low,2025-12-11T00:29:02.663361
OS-010,커널 버전,DEV Master,DEV,Master #1,현재 커널 버전 정보,정상,5.14.0-570.58.1.el9_6.x86_64,-,정보 수집 완료,info,2025-12-11T00:29:02.868464
OS-001,디스크 사용량,DEV Master,DEV,Master #2,루트 파일시스템 디스크 사용률 확인,정상,26,80%,정상 범위,high,2025-12-11T00:29:03.262006
OS-002,메모리 사용량,DEV Master,DEV,Master #2,시스템 메모리 사용률 확인,정상,13.1,85%,정상 범위,high,2025-12-11T00:29:03.467851
OS-003,CPU 사용량,DEV Master,DEV,Master #2,CPU 평균 사용률 확인,정상,1,90%,정상 범위,high,2025-12-11T00:29:03.860664
OS-004,시스템 업타임,DEV Master,DEV,Master #2,시스템 가동 시간 확인,정상,"up 16 hours, 24 minutes",-,정보 수집 완료,info,2025-12-11T00:29:04.070660
OS-005,좀비 프로세스,DEV Master,DEV,Master #2,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2025-12-11T00:29:04.282713
OS-006,로드 애버리지,DEV Master,DEV,Master #2,1분 평균 로드 확인,정상,0.35,8.0,정상 범위,medium,2025-12-11T00:29:04.509171
OS-007,Swap 사용량,DEV Master,DEV,Master #2,Swap 메모리 사용률 확인,정상,0,50%,정상 범위,medium,2025-12-11T00:29:04.724021
