# 2025년 49주차 CMP 인프라 정기점검 보고서
# 생성일시: 2025-12-04 11:07:28
# 회사: CMP 인프라
# 담당팀: 플랫폼팀
# 총 점검항목: 79
# 정상: 76 / 경고: 2 / 위험: 1 / 확인불가: 0

점검ID,점검항목,카테고리,환경,점검대상,설명,상태,측정값,임계치,결과메시지,중요도,점검시간
OS-001,디스크 사용량,DEV Master,DEV,Master #1,루트 파일시스템 디스크 사용률 확인,정상,26,80%,정상 범위,high,2025-12-04T11:07:12.409278
OS-002,메모리 사용량,DEV Master,DEV,Master #1,시스템 메모리 사용률 확인,정상,15.7,85%,정상 범위,high,2025-12-04T11:07:12.633383
OS-003,CPU 사용량,DEV Master,DEV,Master #1,CPU 평균 사용률 확인,정상,3,90%,정상 범위,high,2025-12-04T11:07:13.004830
OS-004,시스템 업타임,DEV Master,DEV,Master #1,시스템 가동 시간 확인,정상,"up 3 days, 2 hours, 22 minutes",-,정보 수집 완료,info,2025-12-04T11:07:13.209252
OS-005,좀비 프로세스,DEV Master,DEV,Master #1,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2025-12-04T11:07:13.420796
OS-006,로드 애버리지,DEV Master,DEV,Master #1,1분 평균 로드 확인,정상,0.69,8.0,정상 범위,medium,2025-12-04T11:07:13.623655
OS-007,Swap 사용량,DEV Master,DEV,Master #1,Swap 메모리 사용률 확인,정상,0,50%,정상 범위,medium,2025-12-04T11:07:13.840997
OS-008,열린 파일 수,DEV Master,DEV,Master #1,시스템 전체 열린 파일 디스크립터 수,정상,2176,100000개,정상 범위,low,2025-12-04T11:07:14.049242
OS-009,네트워크 연결,DEV Master,DEV,Master #1,ESTABLISHED 상태 TCP 연결 수,정상,754,2000개,정상 범위,low,2025-12-04T11:07:14.259436
OS-010,커널 버전,DEV Master,DEV,Master #1,현재 커널 버전 정보,정상,5.14.0-570.58.1.el9_6.x86_64,-,정보 수집 완료,info,2025-12-04T11:07:14.507529
OS-001,디스크 사용량,DEV Master,DEV,Master #2,루트 파일시스템 디스크 사용률 확인,정상,26,80%,정상 범위,high,2025-12-04T11:07:14.905674
OS-002,메모리 사용량,DEV Master,DEV,Master #2,시스템 메모리 사용률 확인,정상,12.8,85%,정상 범위,high,2025-12-04T11:07:15.137254
OS-003,CPU 사용량,DEV Master,DEV,Master #2,CPU 평균 사용률 확인,정상,4,90%,정상 범위,high,2025-12-04T11:07:15.520519
OS-004,시스템 업타임,DEV Master,DEV,Master #2,시스템 가동 시간 확인,정상,"up 3 days, 2 hours, 22 minutes",-,정보 수집 완료,info,2025-12-04T11:07:15.733034
OS-005,좀비 프로세스,DEV Master,DEV,Master #2,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2025-12-04T11:07:15.950969
OS-006,로드 애버리지,DEV Master,DEV,Master #2,1분 평균 로드 확인,정상,0.46,8.0,정상 범위,medium,2025-12-04T11:07:16.165939
OS-007,Swap 사용량,DEV Master,DEV,Master #2,Swap 메모리 사용률 확인,정상,0,50%,정상 범위,medium,2025-12-04T11:07:16.372209
OS-008,열린 파일 수,DEV Master,DEV,Master #2,시스템 전체 열린 파일 디스크립터 수,정상,2016,100000개,정상 범위,low,2025-12-04T11:07:16.573598
OS-009,네트워크 연결,DEV Master,DEV,Master #2,ESTABLISHED 상태 TCP 연결 수,정상,659,2000개,정상 범위,low,2025-12-04T11:07:16.783009
OS-010,커널 버전,DEV Master,DEV,Master #2,현재 커널 버전 정보,정상,5.14.0-570.58.1.el9_6.x86_64,-,정보 수집 완료,info,2025-12-04T11:07:16.976117
OS-001,디스크 사용량,DEV Master,DEV,Master #3,루트 파일시스템 디스크 사용률 확인,정상,26,80%,정상 범위,high,2025-12-04T11:07:17.374314
OS-002,메모리 사용량,DEV Master,DEV,Master #3,시스템 메모리 사용률 확인,정상,12.8,85%,정상 범위,high,2025-12-04T11:07:17.588552
OS-003,CPU 사용량,DEV Master,DEV,Master #3,CPU 평균 사용률 확인,정상,1,90%,정상 범위,high,2025-12-04T11:07:17.974239
OS-004,시스템 업타임,DEV Master,DEV,Master #3,시스템 가동 시간 확인,정상,"up 3 days, 2 hours, 22 minutes",-,정보 수집 완료,info,2025-12-04T11:07:18.192637
OS-005,좀비 프로세스,DEV Master,DEV,Master #3,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2025-12-04T11:07:18.401452
OS-006,로드 애버리지,DEV Master,DEV,Master #3,1분 평균 로드 확인,정상,0.02,8.0,정상 범위,medium,2025-12-04T11:07:18.610657
OS-007,Swap 사용량,DEV Master,DEV,Master #3,Swap 메모리 사용률 확인,정상,0,50%,정상 범위,medium,2025-12-04T11:07:18.808113
OS-008,열린 파일 수,DEV Master,DEV,Master #3,시스템 전체 열린 파일 디스크립터 수,정상,1920,100000개,정상 범위,low,2025-12-04T11:07:19.005735
OS-009,네트워크 연결,DEV Master,DEV,Master #3,ESTABLISHED 상태 TCP 연결 수,정상,572,2000개,정상 범위,low,2025-12-04T11:07:19.221632
OS-010,커널 버전,DEV Master,DEV,Master #3,현재 커널 버전 정보,정상,5.14.0-570.58.1.el9_6.x86_64,-,정보 수집 완료,info,2025-12-04T11:07:19.430613
OS-001,디스크 사용량,DEV Worker,DEV,Worker #1,루트 파일시스템 디스크 사용률 확인,정상,43,80%,정상 범위,high,2025-12-04T11:07:19.934018
OS-002,메모리 사용량,DEV Worker,DEV,Worker #1,시스템 메모리 사용률 확인,정상,20.6,85%,정상 범위,high,2025-12-04T11:07:20.180862
OS-003,CPU 사용량,DEV Worker,DEV,Worker #1,CPU 평균 사용률 확인,정상,10,90%,정상 범위,high,2025-12-04T11:07:20.569545
OS-004,시스템 업타임,DEV Worker,DEV,Worker #1,시스템 가동 시간 확인,정상,"up 3 days, 2 hours, 22 minutes",-,정보 수집 완료,info,2025-12-04T11:07:20.799583
OS-005,좀비 프로세스,DEV Worker,DEV,Worker #1,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2025-12-04T11:07:21.042543
OS-006,로드 애버리지,DEV Worker,DEV,Worker #1,1분 평균 로드 확인,정상,0.42,8.0,정상 범위,medium,2025-12-04T11:07:21.251834
OS-007,Swap 사용량,DEV Worker,DEV,Worker #1,Swap 메모리 사용률 확인,정상,0,50%,정상 범위,medium,2025-12-04T11:07:21.481072
OS-008,열린 파일 수,DEV Worker,DEV,Worker #1,시스템 전체 열린 파일 디스크립터 수,정상,2624,100000개,정상 범위,low,2025-12-04T11:07:21.702988
OS-009,네트워크 연결,DEV Worker,DEV,Worker #1,ESTABLISHED 상태 TCP 연결 수,정상,30,2000개,정상 범위,low,2025-12-04T11:07:21.940488
OS-010,커널 버전,DEV Worker,DEV,Worker #1,현재 커널 버전 정보,정상,5.14.0-570.58.1.el9_6.x86_64,-,정보 수집 완료,info,2025-12-04T11:07:22.158116
OS-001,디스크 사용량,DEV Worker,DEV,Worker #2,루트 파일시스템 디스크 사용률 확인,정상,44,80%,정상 범위,high,2025-12-04T11:07:22.672571
OS-002,메모리 사용량,DEV Worker,DEV,Worker #2,시스템 메모리 사용률 확인,정상,19.9,85%,정상 범위,high,2025-12-04T11:07:22.914263
OS-003,CPU 사용량,DEV Worker,DEV,Worker #2,CPU 평균 사용률 확인,정상,0,90%,정상 범위,high,2025-12-04T11:07:23.298010
OS-004,시스템 업타임,DEV Worker,DEV,Worker #2,시스템 가동 시간 확인,정상,"up 3 days, 2 hours, 22 minutes",-,정보 수집 완료,info,2025-12-04T11:07:23.519825
OS-005,좀비 프로세스,DEV Worker,DEV,Worker #2,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2025-12-04T11:07:23.744970
OS-006,로드 애버리지,DEV Worker,DEV,Worker #2,1분 평균 로드 확인,정상,0.15,8.0,정상 범위,medium,2025-12-04T11:07:23.956900
OS-007,Swap 사용량,DEV Worker,DEV,Worker #2,Swap 메모리 사용률 확인,정상,0,50%,정상 범위,medium,2025-12-04T11:07:24.161301
OS-008,열린 파일 수,DEV Worker,DEV,Worker #2,시스템 전체 열린 파일 디스크립터 수,정상,3648,100000개,정상 범위,low,2025-12-04T11:07:24.368132
